No,Tanggal Laporan,No laporan,Jenis Pesawat,Tanggal Kecelakaan,Lokasi,Sinopsis
120, ,KNKT/08.11/09.03.40,AIRBUS A320-321,1-Jun-08,"POLONIA AIRPORT, MEDAN
NORTH SUMATERA
REPUBLIC OF INDONESIA","On 1 June 2008, an Airbus A320 aircraft, registration PK-YVE, was being 
operated by Metro Batavia Airlines (Batavia Air) flight number 7P-591, on a 
scheduled passenger flight from Jakarta to Medan. The flight departed at 00:10 UTC 
(07:10 local time) with an estimated arrival time at Medan of 02:25. There were 140 
people on board; two pilots, five cabin crew, and 133 passengers. 
The aircraft touched down towards the departure end of the touch-down area of 
runway 05 at Polonia Airport, Medan at 03:04. After a landing run of 41 seconds, the 
aircraft stopped on the runway adjacent to taxiway ‘D’, approximately 1,200 meters 
from the estimated point of touch down. Three main-wheel tires and two main 
wheels were substantially damaged. The aircraft could not be taxied from the runway 
to the apron, nor could it be towed to the apron due to damage to the wheels. 
The passengers and crew disembarked normally at taxiway ‘D’; there were no 
injuries. 
Following an inspection of the landing gear and replacement of the damaged wheels, 
the aircraft was towed to the apron at 10:10. The runway was closed for about 7 
hours. 
The investigation found that the left landing gear down-lock cable was broken. The 
aircraft touched down with the wheel brakes locked due to a hydraulic lock in the 
system, which was the result of an incorrect manual landing gear extension 
procedure being used by the pilots. 
The pilots’ actions indicated that they did not sufficiently understand the aircraft’s 
landing gear system, resulting in them using inappropriate trouble shooting and 
rectification procedures. 
The pilots were not sufficiently confident of the aircraft’s fuel state to conduct a go 
around and fly past as cleared by ATC.
With the release of the final report, the National Transportation Safety Committee’s 
(NTSC) issued two recommendations to address the safety deficiencies identified in 
the report. These covered flight crew technical knowledge of aircraft systems, fuel 
planning and flight management, and the regulatory oversight of the airline’s training 
program"
121, ,KNK.08.04.10.04,Bell 206 B Jet Ranger,23-Apr-08,"Labih Ricefield, Labih Village, Gianyar, Bali Republik of Indonesia","On Wednesday dated 23 April 2008, a Bell 206 B Jet Ranger helicopter, registered
PK-DAT, was being operated by PT. Derazona Air Service on unschedule passenger
flight from Ngurahrai Airport, Denpasar, Bali to Kintamani, Bali. The aircraft
departure from Denpasar at 0020 UTC (Universal Time Coordinate/08:20 LT) and
carried the foreign tourists and flight for one hour. The aircraft landed at Denpasar at
0120.
The helicopter was refuelling and at 0200, the helicopter was flying for 2 hours 30
minutes and carried four passenger tourists for Bali Tour.
After the aircraft flew for 1 hour 45 minutes, the aircraft has a power loss. The pilot
has decision for emergency landing.
The aircraft landed in the ricefield, Pantai Kramas Area, Labih Villages, Gianyar, its
about 60 meters from beach, coordinate 08° 34' 736"" S 115° 21' 460"" E at 0338.
The pilot and passenger were safely and the aircraft was substantial damaged."
122, ,KNKT 08.04.09.04,Boeing Company 737-300,18-Apr-08,"Depati Amir Airport, Pangkal Pinang 
Republic of Indonesia","On 18 April 2008, at 1115 UTC, a Boeing B737-300 aircraft, registered PK CJC operated by PT. Sriwijaya Air, was being flown on a scheduled flight from 
Jakarta to Pangkal Pinang. During the landing at Pangkal Pinang, the aircraft overran 
the end of the runway. The aircraft stopped 50 meters beyond the end of the runway, 
but within the stop-way. 
There were 150 people on board; two pilots, four flight attendants, and 144 
passengers. The aircraft’s occupants were not injured, and disembarked normally 
using air stairs one hour after the aircraft stopped. Based upon crew interviewed, 
airport fire and rescue personnel arrived at the aircraft approximately 10 minutes after 
it stopped. During that 10 minute period, the flight crew were not aware of the extent 
of the damage to the aircraft and if a fire may have started. 
The PIC became distracted by a cabin issue during the approach, and did not 
appropriately monitor the aircraft’s approach profile. The investigation found that the 
aircraft was high and fast on the approach, but the pilot in command allowed the co 
pilot to continue the approach and landing. 
The investigation determined that the approach was un-stabilized, and the flight 
crew’s compliance with procedures, including crew resource management, was not at 
a level to ensure the safe operation of the aircraft. 
The National Transportation Safety Committee issued several recommendations to 
the aircraft operator and the Directorate General of Civil Aviation with the final 
report. These included: a review of airline procedures and flight crew training with 
respect to the timeliness of evacuation of passengers and crew after an accident or 
serious incident, particularly when the extent of damage to the aircraft is not known; a 
review of training programs and procedures with respect to stabilized approaches; and 
the promulgation of procedures requiring flight crew and maintenance personnel to 
deactivate the power source to flight recorders as soon as practicable after an accident 
or serious incident. The NTSC also urged the DGCA to ensure that Indonesian 
operators have flight recorder deactivation procedures and they are implemented. 
The NTSC also reiterated its recommendations that were previously issued to the 
Directorate General of Civil Aviation with Report KNKT.07.11.27.04 stressing 
similar safety concerns. "
123, ,KNKT.08.03.06.04,Pelikan,16-Mar-08,"Pamulang Village, Tangerang
Republic of Indonesia","On 16 March 2008, a Pelikan aircraft registered PK-SKI was an experimental aircraft and 
being operated by Federasi Aero Sport Indonesia (FASI) has experience as a joy flight 
operation in Pondok Cabe area. 
The pilot departed from Pondok Cabe Airport. During flight, the engine has ignition problem 
and then losses power. The aircraft crash at the Pamulang village and four houses damaged. 
The pilot was fatal injured. 
The National Transportation Safety Committee issued safety recommendations to address 
safety issues identified in this report for the Federation Aero Sport Indonesia (FASI) as an 
operator and the Directorate General Civil Aviation as a regulator. "
124, ,KNKT.08.03.06.04,Transall C-160,6-Mar-08,"Wamena Airport, Wamena, Papua
Republic of Indonesia","On 6 March 2008, a Transall C-160 aircraft, registered PK-VTQ, 
operated by PT. Manunggal Air, was on an unscheduled freight flight 
from Sentani Airport, Jayapura, to Wamena Airport, Papua. There were 
six people on board; two pilots, one flight engineer, one AME (Aircraft 
Maintenance Engineer), one Mechanic, one FOO (Flight Operation 
Officer). 
The Beta lights did not illuminate during the landing roll at Wamena, so 
reverse thrust could not be used. The pilots used maximum brake action 
to slow the aircraft, and rolled through to the end of runway 15, then 
backtracked the aircraft towards taxiway “E”, about 450 meters from the 
departure end of runway 15. 
The air traffic controller informed the Transall crew that heavy smoke 
was coming from the left main-wheels, and activated the crash alarm. The 
pilots stopped the aircraft on taxiway “E”, and the occupants disembarked 
and attempted to extinguish the wheel-bay fire with a hand held 
extinguisher. 
The airport rescue fire fighting service (RFFS) took 15 minutes to 
commence applying foam to the fire. The attempts to extinguish the fire 
were unsuccessful, and the fire destroyed the aircraft and its cargo of fuel 
in drums. 
The investigation determined that the left main wheels’ brakes overheated 
during the landing roll. Due to the extreme fire damage, the investigation 
was not able to determine the condition of the brake pads at the time of 
the landing, and if that may have contributed to the overheating. 
A fire commenced in the brake area of one or more of the left main 
landing gear wheels. Sections of the left aft main wheels’, inner and outer 
brake disks were substantially damaged, with sections missing; burnt 
away. The investigation was unable to determine the location of the 
source of the fire propellant. It is likely that brake system hydraulic fluid 
under pressure, was the propellant that fed the fire. 
The National Transportation Safety Committee’s report includes 
recommendations to the Directorate General of Civil Aviation to address 
safety deficiencies to ensure compliance with ICAO Annex 14 
Standards. The safety deficiencies are with respect to the status of the 
RFFS equipment at Wamena, and the need to establish and exercise an 
Emergency Response Plan for Wamena. "
125, ,KNKT 08.01.04.04,De Havilland DHC-6-300 Twin Otter,30-Jan-08,"Sogapa Aerodrome, Papua
Republic of Indonesia","On the morning of 30 January 2008, a de Havilland DHC-6-300 Twin Otter aircraft, 
registered PK-BRP, was being operated by PT. Aviastar Mandiri Airlines on a charter 
flight carrying passengers and cargo from Nabire to Sugapa, via Enarotali, Papua. 
There were 18 persons on board; two pilots, one engineer, and 15 passengers. The 
pilot in command (PIC) was the handling pilot, and the co-pilot was the 
monitoring/support pilot. 
Sugapa weather was clear, with the surface wind calm. The PIC made the approach to 
runway 27 at Sugapa. 
Shortly after touchdown, the aircraft veered to the left and the PIC was unable to 
maintain directional control to keep the aircraft on the runway. The aircraft left the 
runway and struck and fatally injured a man standing close to the edge of the runway. 
The right main wheel sank into soft ground and the aircraft swung abruptly to the 
right through 270 degrees, tearing the nose landing gear from the aircraft. It stopped 
with the nose embedded in an embankment 5 meters from the side of the runway. 
The aircraft was substantially damaged, but the occupants were not injured and 
vacated the aircraft unaided. 
The pilot in command indicated that the aircraft had a history of a tendency to veer to 
left during ground roll. However, investigation found no pre-landing defects with the 
aircraft that could have contributed to the accident. There was also no record of such a 
defect being entered in the aircraft maintenance log. 
The investigation found that the nose landing gear fork cracked and was deformed as 
a result of being subjected to a high impact force during the touchdown. 
The National Transportation Safety Committee made recommendations to PT. 
Aviastar Mandiri Airlines and the Directorate General of Civil Aviation with respect 
to procedures for flight crew to document aircraft and system defects in the aircraft 
maintenance log."
126, ,KNKT 08.01.03.04,Boeing B737-300,28-Jan-08,"Mopah Airport, Merauke
PAPUA
Republic of Indonesia","On 28 January 2008, a Boeing B737-300 aircraft, registered PK-MBP, operated 
by PT. Merpati Nusantara Airline, departed from Sentani Airport, Jayapura, 
Papua, to Mopah Airport Merauke. 
The Merauke air traffic controller reported that when the aircraft was on final 
approach there were no obstructions on the runway, so he cleared the aircraft to 
land on runway 16. 
During the landing roll, the pilot observed that a cow had entered the active 
runway and was running across the runway in front of the aircraft. When the 
aircraft was about 1,000 meters from the runway 16 threshold, the left engine 
struck the cow. The pilots stopped the aircraft on the runway and shut down the 
left engine. The cabin crew informed the pilots that left engine cowling was 
damaged. 
The aircraft’s occupants were not injured, and disembarked from the aircraft 
unaided, using air stairs at the apron. 
The investigation found that the airport did not meet the requirements of ICAO 
Annex 14, Volume 1, Paragraph 9.10.2, Standard, or the intent of Civil Aviation 
Safety Regulation (CASR) 139 Subparts 4.2 and 4.12. 
The airport perimeter was not fenced, and there was no other appropriate means 
of preventing animals, large enough to be a hazard to aircraft from entering the 
aircraft movement area of the airport. 
The cockpit voice recorder was unserviceable and no useful information was 
recorded during the accident flight. 
The National Transportation Safety Committee made recommendations to the 
Directorate General of Civil Aviation to require airport operators to control 
access and prevent unauthorised entry of persons, vehicles, equipment or animals, 
or other things that may endanger aircraft safety, onto the movement area of all 
Indonesian airports. "
127,  ,KNKT 08.01.02.04,Casa 212-200,26-Jan-08,"En-route Tarakan – Long Apung
East Kalimantan
Republic of Indonesia","On 26 January 2008, a Casa 212-200 aircraft, registered PK-VSE, was being 
operated by PT. Dirgantara Air Service as a cargo charter flight from Tarakan 
Airport to Long Apung Airport. There were three persons on board; two pilots 
and one aircraft maintenance engineer/load master. The aircraft was certified 
as being airworthy prior to departure. 
The aircraft departed from Tarakan at 0011 UTC (08:11 local time), and the 
estimated time arrival at Long Apung was 0136. At 0411 the pilot of another 
aircraft received a distress signal and informed air traffic services at Tarakan. 
Searchers subsequently found the aircraft wreckage at an elevation of 2,766 
feet, about 3.4 NM from Long Apung Airport. The coordinates of the accident 
site were 01° 39.483′ S and 115° 00.265′ E near Lidung Payau Village, 
Malinau, East Kalimantan. The accident site was on the left downwind leg of 
the runway 35 circuit. 
Witnesses reported that at the time of the occurrence the downwind leg of the 
circuit for Runway 35 at Long Apung Airport was obscured by low cloud. 
The copilot twice warned the PIC “be careful sir, there is a hill”. It is likely 
that the pilots were unable to keep the runway in sight during the maneuvering 
on downwind for runway 35. 
The investigation determined that it is likely that the pilots did not maintain 
visual flight procedures, and flew the aircraft into instrument meteorological 
conditions prior to colliding with the terrain. 
As a result of this investigation, the National Transportation Safety Committee 
issued recommendations to address safety issues identified in this report. 
Specifically with respect to the operators pilot training and checking, to ensure 
that it covers the use of the Flight Safety Foundation (FSF) (or similar) 
Approach-and-landing Accident Reduction (ALAR) and Controlled Flight Into 
Terrain (CFIT) awareness training material. "
128, ,KNKT.07.12.34.04,Fletcher FU24-950,11 Desember 2007,"Perkebunan Cendrawasih Estate 
Desa Lereh, Sentani - Papua","An agriculture aircraft of the Fletcher FU-24-950 type, registered as PK-PNB and owned by Sinar Mas Super Air, conducted routine aerial fertilization tasks on December 11, 2007, in the Cendrawasih Estate oil palm plantation, Sentani - Papua.

A pre-flight check was conducted before takeoff, and no damage or abnormalities were found. The aircraft began its flight at 7:45 AM local time and commenced the fertilizer spreading operation. The loading of fertilizer into the aircraft during the first to the tenth flights proceeded without any issues.

However, during the loading for the eleventh flight, the aircraft took off and experienced an accident at 9:30 AM in the K19 L20 block area. Shortly after the accident, staff from the agronomy/plantation department reported the incident to the technicians in the hangar.

As the aircraft was heading to the fertilization point in the H-20 area and maneuvering at very low altitude, the left wing of the aircraft struck the oil palm trees. This resulted in the left wing breaking and subsequently causing the aircraft to crash.

Due to the accident, the pilot lost their life at the scene of the incident."
129, ,KNKT.07.12.33.04 ,Piper Seneca PA-34,7-Dec-07,"Kasiguncu Aerodrome
Central Sulawesi
Republic of Indonesia ","On Friday 7 December 2007, a Piper Seneca PA-34 aircraft, registration PK-JKS, was being 
operated by PT. Air Transport Service (ATS) on a flight from Makassar to Kasiguncu 
Airport, Poso City, Central Sulawesi. The aircraft departed from Makassar at 00:45 
Coordinated Universal Time (UTC) and arrived at Kasiguncu at 01:55. There were 6 
occupants; 1 pilot and 5 passengers. 
During the landing on runway 21, the aircraft travelled normally for about 200 meters and 
then suddenly diverged left causing the propeller to strike the runway. Numerous slash marks 
from the three-bladed propeller were found for a distance of 100 meters on the runway. The 
left wing subsequently struck the runway, causing the aircraft to continue turning left through 
90 degrees. The aircraft stopped on the grass shoulder of runway 21. 
The airport’s rescue fire fighting vehicle had been unserviceable since it was damaged during 
riots in 2004. Airport personnel went immediately to the accident site to offer assistance and 
brought portable fire fighting equipment. There was no fire. The pilot and his 5 passengers 
were uninjured. 
The investigation determined that there was no evidence of any defect with the landing gear 
micro switches, or hydraulic system. The investigation was not able to conclusively determine 
the reason the landing gear unlocked and subsequently retracted. 
The NTSC made recommendations to the Kasiguncu Airport operator and the Directorate 
General of Civil Aviation covering the airport emergency equipment, planning and response 
at Kasiguncu Airport."
130, ,KNKT.07.11.31.04,Cessna 172M,16-Nov-07,"42 NM north west of Depati Amir Airport, 
Pangkal Pinang
Republic of Indonesia","On 16 November 2007, a Cessna 172 aircraft operated by Admal SDN. 
BHD Malaysia, registered 9M-BDI, departed from Hang Nadim Airport, 
Batam, on a ferry flight to Pangkal Pinang (Depati Amir) Airport, Indonesia. 
There were two persons on board. The flight had originated at Subang 
Airport, Selangor, Malaysia and tracked via Johor Bahru and Batam, landing 
at each airport, but only refueling at Batam. 
About an hour after departure from Batam, the pilot reported climbing above 
1,500 feet, and 3 minutes later the pilot broadcast a MAYDAY, stating that 
he was looking for a place to land. At that time he reported that he was 49 
miles from Pangkal Pinang and passing 7,500 feet. The pilot did not give a 
reason for the Mayday broadcast until 5 minutes later. He said that he had 
found a place to land, and then made a passing reference to a fuel leak, and 
that he would refuel and take off from the landing position. The aircraft was 
carrying three jerry cans of avgas in the passenger cabin. 
The pilot subsequently landed on a beach 42 NM north west of Pangkal 
Pinang. During the landing roll the nose wheel sank into soft sand and 
collapsed, resulting in the aircraft overturning. 
The pilot’s passing reference to refuelling and taking off from the forced 
landing position, indicated that following the forced landing he intended to 
refuel from the on-board jerry cans of avgas, and take off from the beach. It 
was evident that the pilot knew that the engine had failed due to fuel 
exhaustion. 
The pilot informed the investigators that he had not leaned the fuel mixture 
during the climb to, and subsequent cruise at 9,000 feet. The investigation 
determined that the pilot did not operate the aircraft in accordance with the 
engine leaning procedures specified by the operator and the aircraft 
manufacturer. If the pilot had used the same procedures for the flight sectors 
from Subang to Johore Bahru and Batam, it is likely that after refueling at 
Batam there was considerably less fuel in the aircraft’s wing tanks than 
estimated by the pilot. 
The investigation determined that under the operating procedures used by the 
pilot, the aircraft did not have sufficient useable fuel on board to complete 
the planned flight when it departed from Batam. 
The National Transportation Safety Committee issued recommendations to 
the operator, Admal Sdn. Bhd. Malaysia, and the Malaysian Department of 
Civil Aviation. The recommendations seek to ensure that appropriate 
guidance documentation, training, and supervision are provided in the areas 
of engine handling/fuel management procedures; the carriage of avgas and 
other dangerous goods in the passenger cabin when carrying passengers; and 
filing of flight plans and other required documents."
131, ,KNKT.07.11.27.04,BOEING AIRCRAFT COMPANY B737-200,1-Nov-07,"ABDURRACHMAN SALEH AIRPORT,
MALANG
EAST JAVA
REPUBLIC OF INDONESIA","On the afternoon of 1 November 2007, a Boeing Company B737-200 aircraft, 
registered PK-RIL, operated by PT. Mandala Airlines as flight number MDL 260, 
on a scheduled passenger flight from Jakarta Soekarno-Hatta International Airport, 
Jakarta, was substantially damaged as a result of a severe hard landing sequence at 
Abdurrachman Saleh Airport, Malang, East Java. There were 94 persons on board 
the aircraft, consisting of two pilots, three cabin crew, and 89 passengers. 
The investigation determined that the crew did not refer to the aircraft rate of 
descent when it exceeded 1,000 feet/minute during the landing approach, and was 
therefore an unstabilized approach condition. 
The investigation also determined that the PIC did not respond appropriately to the 
any of ground proximity warning system voice ‘aural warnings that were initiated 
during the latter stages of the approach as a result of the high rate of descent of the 
aircraft. 
The derived FDR data revealed that the aircraft bounced to a height of about 20 
feet after the initial severe hard landing. However, there was no attempt by the 
crew to recover from the high bounce by initiating a go-around. On 2 December 2009, Mandala Airlines informed the NTSC that its safety action 
included issuing a Safety Quality Notice to all pilots stressing required procedures 
for stabilized approach in IMC and VMC. The SQN reinforced previous SQNs 
issued in November 2007 and September 2008, and a 10 November 2007 Mandala 
safety news letter article. 
The National Transportation Safety Committee’s (NTSC) report includes 
recommendations to PT. Mandala Airlines and the Directorate General of Civil 
Aviation to address safety deficiencies relating to flight crew training for the 
prevention of unstabilized approaches."
132, ,KNKT.07.09.20.04,Casa 212-200,2-Sep-07,"Rar Gwarma Airport, Dobo, Aru Archipelago
 Republic of Indonesia","On 2 September 2007, a Casa 212-200 aircraft, registered PK-NCN, operated by PT. Merpati 
Nusantara Airlines as a flight number MZ 7976, departed from Ambon, Langgur than to 
Dobo the aircraft was airworthy prior departure.
In flight from Langgur to Dobo, the Co-pilot acted as flying pilot. 
During the final approach at Dobo, while aircraft speed approximately 90 knots, the aircraft 
had a sudden bump, the co-pilot tried to correct the situation by pushed the control column 
and simultaneously reduced the power lever. At about 100 feet of altitude, the PIC called out 
“EH – EH – EH, I HAVE CONTROL”. The PIC decided to go around and open power. 
During the go around the aircraft touch the ground on the grass covered area, about 38 meters 
before the beginning of runway 05 and rolled about 8 meters. The area was covered by grass 
up to 60 centimeters tall. During this ground roll, the left main landing gear impacted to the 
mound about 25 centimeters high. 
The aircraft successfully go around and landed using runway 23, touched down about 130 
meters from beginning of runway, on centre line and veered to the left of centerline. The PIC 
managed to correct and the aircraft returned to centerline. 
The aircraft stopped on the runway at 665 meters from beginning of runway 23, about 25 
meters from taxi way. All passengers and crew disembarked normally on the runway. No one 
was injured in this accident."
133, ,KNKT.07.14.06.04,de Havilland DHC 6-300 Twin Otter,1-Jun-07,"Mulia Airstrip, Papua
Republic of Indonesia","On Friday 1 June 2007, a de Havilland Twin Otter DHC 6-300, registered PK-YRU 
overran the right side of the runway during the take-off roll. The aircraft left the runway 
and impacted a ditch and rocks on the right shoulder of the runway. Main-wheel tire marks 
for more than 65 meters on the runway indicated that heavy braking action was being 
applied to the left brake. 
A witness statement confirmed the tire track evidence on the runway, that during the early 
take-off roll the aircraft turned right, then left, and then back to the right before leaving the 
runway. The aircraft was substantially damaged. None of the occupants were injured. 
The handling pilot was undergoing captaincy training under the supervision of an 
instructor.
The investigation was unable to determine why the aircraft commenced veering to the right 
during the early acceleration phase of the takeoff. The pilots continued the takeoff and 
directional control was lost during the take-off roll. The instructor pilot was unable to 
regain directional control of the aircraft before it left the runway.
No aircraft or system defect was found that could have contributed to the pilots’ inability 
to maintain directional control during the take-off roll. 
The pilot under training stated that “things happened fast” and he was “unaware that the 
power levers were still in the full on position”, but was “conscious that his left hand was 
on the steering handle”. He said that he did not immediately respond to a shout from the 
instructor to not use the steering handle. 
The investigation considered that it was possible that the nose-wheel steering was not 
centred before commencing the take-off roll and that the pilot under training may have 
been unaware that he was holding an inappropriate nose-wheel steering position during the 
take-off roll. 
The National Transportation Safety Committee made a recommendation to the Directorate 
General of Civil Aviation to review the safety of the Mulia runway shoulder area and 
require the airport operator to ensure that there are no obstacles to safety, such as ditches 
and rocks, to prevent an aircraft from safely negotiating the runway shoulder in the event 
of a runway excursion. "
134,  ,KNKT.07.05.10.04,Boeing 737-300,25-May-07,"Polonia International Airport, Medan
Republic of Indonesia","On 25 May 2007, a Boeing 737-300 aircraft, registered PK-AWP was being operated by PT. 
Indonesia AirAsia on a scheduled passenger flight with flight number QZ 7506 was 
scheduled from the Soekarno-Hatta International Airport (WIII) Jakarta, Indonesia to the 
Polonia Airport (WIMM) of Medan, Indonesia. On board of this flight were two pilots, three 
flight attendants, and 129 passengers. The Second in Command acted as Pilot Flying while 
the Pilot in Command (PIC) acted as Pilot Monitoring. 
The flight until commenced approach was uneventful. The PIC noticed that the approach 
speed was high and at 500 feet decided to take over the control and land the aircraft. The 
pilot felt that the touchdown was positive and the aircraft continued exit runway via taxiway 
B. During taxi, the pilot felt vibration on the nose wheel steering. The aircraft parked at bay 
number 5 and the passengers disembarked normally. No one injured in this accident.
The Flight Data Recorder (FDR) recorded that during touchdown the indicated airspeed was 
190 knots while the target landing speed was approximately 130 knots and the vertical 
acceleration was 4.8 g.
During turn around check found 14 tie bolts of the left nose wheel detached which one of the 
tie bolt could not be found, the left nose wheel tire deflated. Fuselage skin above the nose 
wheel wrinkled and deformation was also found on this section. The left main landing gear 
bearing and axle were found to be damaged."
135, ,KNKT.07.05.12.04,Piper Pawnee PA 25-235,12-May-07,"Klumpang Tobacco Plantation, Deli Serdang,
Medan, North Sumatra
Republic of Indonesia","On 12 May 2007, a Piper Pawnee PA 25-235 aircraft operated by PT Perkebunan
Nusantara II (PTPN II), registered PK-PNM conducted a series of agriculture spray
operation flight on Klumpang tobacco plantation, Deli Serdang, Medan, North Sumatra. At 09.30 LT (02.30 UTC) on the third flight, the aircraft was spraying in area number 5
and number 6 that have 16 lines of tree. After conducted spray on line 1, the aircraft was
climbed to 200 feet and turned to right to the next target on line no. 9. While passed 150
feet, the pilot felt the aircraft lost its power and altitude. The pilot pushed the throttle to full
to recover the aircraft power and altitude.
During recovering climb, the aircraft could not avoid bamboo tree clusters. The aircraft
struck into bamboo trees and lost its control than crashed at the bamboo cluster area>
The pilot was suffered minor injuries, and the aircraft was major damage.
The plantation surfaces generally flat, however, in some places, there were a river using for
irrigation, tobacco and others plant as bamboo, oil palm, and teak. In this area, has a
building higher than the plantation.
The higher group of plantation might built turbulence when the strong wind blown
through. At the time the accident, the witness who is an aircraft maintenance engineer informed that
the wind blow extremely and the aircraft most likely lost of control. The wind came from
direction about 300 degrees sporadically
The investigation conclude that the aircraft had experienced entering a trubulance at low
altitude and uncontrolled hit the bamboo tree, then the aircraft crash
As a result of the accident investigation NTSC issue a safety recommendation to improve
the agriculture operation safety and to prevent a similar occurrence in the future."
136, ,KNKT.07.04.08.04,Boeing Company 737-400,12-Apr-07,"Soekarno-Hatta Airport, Jakarta
Republic of Indonesia","On 12 April 2007, a Boeing 737-400 aircraft, registration PK-GWK, was being 
operated on a scheduled passenger service from Soekarno-Hatta International Airport, 
Jakarta to Hasanuddin Airport, Makassar as GA602. 
After airborne flight crew felt that the aircraft vibrated. The flight crew observed that 
all engine parameters were indicating normal. After the landing gear was in up position, the vibration disappeared. The flight crew continued the flight normally to 
the destination. During flight, the flight crew was notified by another company 
aircraft departed after GA602, that they observed tire debris left on the runway. There 
was no abnormality during cruise. 
During approach briefing, the PIC also briefed the possibility of landing with one tire 
has burst. Although landing at maximum landing weight was permitted, the PIC 
requested a 30 minutes holding to the ATC in order to reduce landing weight. 
During visual approach to runway 13, the flight crew requested to the Hasanuddin 
Tower for over-flying at an altitude of 400 feet, to verify the main landing gear tires 
condition. After the over-flying the tower informed the flight crew that there was a 
problem on the left main landing gear tire although the tower could not identify 
whether on the number one or number two tire."
137, ,KNKT.07.04.07.04,Cessna 172,7-Apr-07,"Nirwana Indah Village, Ciputat, Tangerang 
Republic of Indonesia","On 7 April 2007, a Cessna 172 aircraft, registered PK-SDP was being operated on training at 
12:45 local time (05:45 UTC/Coordinated Universal Time). There were two instructors, and 
one student on board. 
The aircraft was departure from Halim Perdanakusuma Airport, Jakarta and the training area 
at Budiarto Airport, Tangerang. 
During return flight to Halim Perdanakusuma Airport, Jakarta, the aircraft was lost its power 
and then the engine was in an idle rpm. The instructor pilot then decided to make a force 
landing on a football field and hit a mound. 
All occupants were injured. The aircraft was substantially damaged. 
The point end of the throttle lever to connected the throttle arm with the rod end and fitted by 
locking device as split pin. 
During investigation, the carburettor found the rod end, nut and split pin were not attached in 
the throttle arm, indicated the engine was uncontrolled. 
The Alfa Flying School had been conducted an inspection to ensure proper installation for all 
the aircraft related to the carburettor rod end, nut and split pin attachment in the throttle arm. "
138, ,KNKT/07.06/07.02.35,BOEING 737–497,7-Mar-07,"ADI SUCIPTO AIRPORT, YOGYAKARTA
INDONESIA","On 7 March 2007, a Boeing Company 737-497 aircraft, registered PK-GZC, was 
being operated by Garuda Indonesia on an instrument flight rules (IFR), scheduled 
passenger service, as flight number GA200 from Soekarno-Hatta Airport, Jakarta to 
Adi Sucipto Airport, Yogyakarta. There were two pilots, five flight attendants, and 
133 passengers on board. 
The PIC intended to make an instrument landing system (ILS) approach to runway 09 
at Yogyakarta and briefed the copilot accordingly. Yogya Approach cleared the 
aircraft for a visual approach, with a requirement to proceed to long final and report 
runway in sight. Although the crew acknowledged the visual approach clearance, they 
continued with the ILS approach, but did not inform the controller. The descent and 
approach were conducted in visual meteorological conditions. 
At 23:55:33, when the aircraft was 10.1 miles from the runway, it was 1,427 feet 
above the initial fix of 2,500 feet published in the approach chart, and the airspeed was 
283 knots. The pilot in command descended the aircraft steeply in an attempt to reach 
the runway, but in doing so, the airspeed increased excessively. Because the aircraft 
was being flown at speeds that were in excess of the wing flaps operation speed, the 
copilot elected not to extend the flaps as instructed by the PIC. During the approach, 
the Ground Proximity Warning System (GPWS) alerts and warnings sounded 15 times 
and the copilot called for the PIC to go around. 
The PIC continued the approach with flaps 5 degrees, and the aircraft attained the 
glideslope near the runway 09 threshold. Flaps 5 degrees is not a landing flap setting. 
The aircraft crossed the threshold, 89 feet above the runway, at an airspeed of 232 
knots, 98 knots faster than the required landing speed for flaps 40 degrees. The wind 
was north easterly at 9 knots. The groundspeed was 235 knots. The aircraft touched 
down at an airspeed of 221 knots, 87 knots faster than landing speed for 40 degrees 
flap. Shortly after touching down, the copilot called, with high intonation, for the PIC 
to go around. 
The aircraft was flown at an excessive airspeed and steep flight path angle during the 
approach and landing, resulting in an unstabilized approach. The PIC did not follow 
company procedures that required him to fly a stabilized approach, and he did not 
abort the landing and go around when the approach was not stabilized.

The Directorate General of Civil Aviationâ€™s flying operations surveillance of Garuda was 
not effective in identifying these and other safety deficiencies. 
The Yogyakarta Airportâ€™s rescue and fire fighting services vehicles were unable to reach 
the accident site and some did not have appropriate fire suppressant. The delay in 
extinguishing the fire, and the lack of appropriate fire suppressant agents, may have 
significantly reduced survivability. The airport emergency plan and its implementation 
were less than effective. 

A number of safety actions by Angkasa Pura I to address safety deficiencies with respect to 
airport emergency preparedness and associated services and equipment are also included. 
Since the accident, an access road between the airport perimeter and the area of the 
accident site has been constructed. 
On 2 April 2007, Garuda issued a notice to its pilots reinforcing its mandatory policy 
relating to a pilot monitoring to take control of an aircraft and execute a go around in 
instances of unstabilized approach, when the pilot flying does not make an appropriate 
response. The notice assures pilots that the company will not take disciplinary measures for 
a go around executed under any unsafe or unstabilized approach. "
